"age","job","marital","education","default","housing","loan","contact","month","day_of_week","duration","campaign","pdays","previous","poutcome","emp.var.rate","cons.price.idx","cons.conf.idx","tw3m","nr.employed","y"
41,"management","married","basic.6y","no","no","yes","telephone","jun","tue",271,2,999,0,"nonexistent",1.4,94.465,-41.8,4.961,5228.1,"no"
32,"technician","married","university.degree","no","yes","no","telephone","jul","thu",443,4,999,0,"nonexistent",1.4,93.918,-42.7,4.968,5228.1,"no"
35,"services","single","basic.4y","no","no","yes","telephone","may","thu",240,3,999,0,"nonexistent",1.1,93.994,-36.4,4.855,5191,"no"
29,"management","single","university.degree","no","no","no","telephone","may","fri",118,1,999,0,"nonexistent",1.1,93.994,-36.4,4.855,5191,"no"
28,"technician","married","basic.9y","no","yes","no","telephone","jun","thu",225,1,999,0,"nonexistent",1.4,94.465,-41.8,4.961,5228.1,"no"
38,"management","married","university.degree","unknown","no","yes","cellular","aug","wed",107,1,999,0,"nonexistent",1.4,93.444,-36.1,4.965,5228.1,"no"
37,"unemployed","single","university.degree","no","yes","yes","cellular","nov","tue",95,1,999,0,"nonexistent",-0.1,93.2,-42,4.153,5195.8,"no"
36,"admin.","single","university.degree","no","no","no","cellular","apr","thu",208,12,999,1,"failure",-1.8,93.075,-47.1,1.435,5099.1,"no"
38,"technician","married","university.degree","no","no","no","telephone","aug","mon",280,10,999,0,"nonexistent",1.4,93.444,-36.1,4.963,5228.1,"no"
35,"blue-collar","married","basic.9y","no","no","no","cellular","may","wed",145,1,999,0,"nonexistent",-1.8,92.893,-46.2,1.334,5099.1,"no"
40,"blue-collar","married","professional.course","no","no","no","telephone","jun","mon",883,1,999,1,"failure",-2.9,92.963,-40.8,1.215,5076.2,"yes"
31,"services","single","high.school","unknown","yes","no","telephone","may","wed",317,1,999,0,"nonexistent",1.1,93.994,-36.4,4.857,5191,"no"
37,"management","married","unknown","no","no","no","cellular","nov","thu",171,2,999,1,"failure",-0.1,93.2,-42,4.076,5195.8,"no"
54,"management","married","high.school","unknown","no","no","cellular","may","mon",229,5,999,1,"failure",-1.8,92.893,-46.2,1.299,5099.1,"no"
38,"blue-collar","single","basic.6y","no","yes","no","telephone","may","fri",331,6,999,0,"nonexistent",1.1,93.994,-36.4,4.857,5191,"no"
27,"technician","single","university.degree","no","no","no","cellular","jul","thu",114,1,999,0,"nonexistent",1.4,93.918,-42.7,4.963,5228.1,"no"
24,"services","single","high.school","no","no","no","cellular","may","fri",145,4,999,1,"failure",-1.8,92.893,-46.2,1.25,5099.1,"no"
42,"housemaid","married","basic.4y","no","yes","no","cellular","aug","mon",173,1,999,0,"nonexistent",1.4,93.444,-36.1,4.965,5228.1,"no"
38,"admin.","single","basic.6y","unknown","no","no","telephone","may","tue",65,1,999,0,"nonexistent",1.1,93.994,-36.4,4.856,5191,"no"
44,"services","married","high.school","no","yes","no","telephone","nov","wed",102,2,999,0,"nonexistent",-0.1,93.2,-42,4.12,5195.8,"no"
35,"blue-collar","married","basic.9y","no","no","no","telephone","jun","thu",92,1,999,0,"nonexistent",1.4,94.465,-41.8,4.866,5228.1,"no"
35,"admin.","single","university.degree","no","yes","no","cellular","aug","mon",773,2,999,0,"nonexistent",1.4,93.444,-36.1,4.963,5228.1,"yes"
51,"admin.","divorced","university.degree","no","yes","no","cellular","aug","thu",218,6,999,0,"nonexistent",1.4,93.444,-36.1,4.968,5228.1,"no"
34,"admin.","single","university.degree","no","yes","no","cellular","may","wed",36,1,999,1,"failure",-1.8,92.893,-46.2,1.334,5099.1,"no"
37,"services","married","high.school","no","no","no","telephone","may","fri",427,2,999,0,"nonexistent",1.1,93.994,-36.4,4.857,5191,"no"
71,"retired","married","basic.4y","no","yes","no","cellular","jul","thu",519,2,9,3,"failure",-1.7,94.215,-40.3,0.899,4991.6,"yes"
